datetime,open,high,low,close,volume
2023-01-03,77753,77753,77753,77753,1
2023-01-04,77753,77753,77753,77753,1
2023-01-05,76831,76831,76831,76831,1
2023-01-16,78706,78723,76158,76158,3
2023-01-24,79739,82747,76594,77741,14
2023-01-31,81171,81171,81171,81171,1
2023-02-02,79674,79674,78896,78896,4
2023-02-10,79579,79579,79568,79568,2
2023-02-13,82391,82391,79697,79697,2
2023-02-14,82227,82227,80256,80256,2
2023-02-22,82038,82486,82038,82486,3
2023-02-24,81951,81951,81951,81951,1
2023-03-07,83683,84472,83683,84472,3
2023-03-10,84428,84428,83492,83549,3
2023-03-16,82507,82507,81531,81531,2
2023-03-20,85017,87501,84297,84897,10
2023-03-21,84155,84155,84141,84141,2
2023-03-27,84200,84200,84200,84200,1
2023-03-28,84370,84370,84370,84370,1
2023-03-30,84884,85175,84884,85175,2
2023-04-03,85133,85300,85133,85300,2
2023-04-04,86907,86907,86800,86848,6
2023-04-06,89008,89008,89008,89008,1
2023-04-07,90545,90545,88800,88800,3
2023-04-17,88691,88691,88691,88691,1
2023-04-28,87611,87611,87600,87600,4
2023-05-02,86338,86338,86338,86338,1
2023-05-12,84099,84898,83518,84898,7
2023-05-15,85999,85999,85999,85999,5
2023-05-23,88199,88292,88199,88292,2
2023-05-24,88199,88299,88199,88299,4
2023-05-26,87199,88190,87199,88190,2
2023-06-01,86218,86218,85859,85859,6
2023-06-06,88348,88348,88348,88348,2
2023-06-08,88277,88277,88277,88277,2
2023-06-13,88888,89859,88888,89859,2
2023-06-15,89865,89999,89836,89999,6
2023-06-16,90449,90999,89895,89895,16
2023-06-19,92286,93426,90801,91199,38
2023-06-20,91399,91799,91399,91799,3
2023-06-21,91503,91503,90501,90600,26
2023-06-22,90501,90999,90251,90999,7
2023-06-23,90751,90999,90001,90999,10
2023-06-26,91249,92249,90752,91749,24
2023-06-27,91998,92188,91501,92159,15
2023-06-28,92249,93397,92249,93397,38
2023-06-29,93499,93999,93499,93752,4
2023-06-30,95375,95376,95375,95376,2
2023-07-03,94613,96816,94609,96816,20
2023-07-04,93754,95485,93754,94154,16
2023-07-05,96047,96047,95701,95701,2
2023-07-06,97838,97990,96500,96500,10
2023-07-07,95986,96221,95986,96217,7
2023-07-10,97899,98966,96250,96250,3
2023-07-11,95651,95655,95651,95655,5
2023-07-12,97250,97748,97250,97748,2
2023-07-13,98102,98102,98102,98102,2
2023-07-14,98000,98900,98000,98900,2
2023-07-17,98900,99600,98900,99600,8
2023-07-18,98800,98800,98800,98800,1
2023-07-19,98989,98989,98989,98989,1
2023-07-20,98306,98306,97800,97800,14
2023-07-21,97887,97887,97200,97200,3
2023-07-24,97100,97222,97100,97222,2
2023-07-25,96800,96800,96777,96777,2
2023-07-26,96850,96850,96804,96804,3
2023-07-27,97963,97963,97963,97963,1
2023-07-28,97100,97979,97099,97979,3
2023-07-31,101871,101871,98209,98209,8
2023-08-01,98613,98709,98613,98709,4
2023-08-02,100368,100870,100088,100749,34
2023-08-03,100749,100799,99666,100799,7
2023-08-04,100798,102811,100798,102810,6
2023-08-07,102810,103954,101158,101158,13
2023-08-08,101006,102950,101006,102950,9
2023-08-09,103101,103800,103101,103603,6
2023-08-10,103606,104017,103600,104017,8
2023-08-11,104017,106000,104017,106000,6
2023-08-14,106000,107990,104450,104450,16
2023-08-15,103200,105948,101499,101902,22
2023-08-16,102799,102799,100185,100185,39
2023-08-17,100185,100899,98037,98037,26
2023-08-18,98576,99400,98001,99400,13
2023-08-21,100200,100250,99000,99333,51
2023-08-22,99111,100375,99111,99556,8
2023-08-23,99499,99499,99499,99499,1
2023-08-24,100174,100300,100000,100254,7
2023-08-25,100220,100790,100220,100790,4
2023-08-28,101500,101990,101500,101605,13
2023-08-29,101999,102998,101999,102890,9
2023-08-30,103180,103899,103180,103899,10
2023-09-01,103200,103361,102800,102800,7
2023-09-04,102900,107982,102498,104000,67
2023-09-05,104047,104050,104047,104050,3
2023-09-06,103756,104500,102613,104500,31
2023-09-07,104351,104998,103499,103898,21
2023-09-08,104200,104200,103100,103300,19
2023-09-11,102556,102603,100800,100800,24
2023-09-12,100800,101054,99765,100793,45
2023-09-13,100700,103251,100700,103215,85
2023-09-14,102317,103215,101567,102056,13
2023-09-15,102066,102066,100592,100592,32
2023-09-18,100700,101133,100431,100810,152
2023-09-19,100301,100555,99768,100555,41
2023-09-20,100774,101025,100285,100426,127
2023-09-21,100573,100625,99013,100438,529
2023-09-22,100427,100942,100014,100750,499
2023-09-25,100877,101191,100190,100940,2557
2023-09-26,100886,101263,100572,101175,1967
2023-09-27,100954,101411,100630,100962,3051
2023-09-28,101101,102048,100600,102017,8718
2023-09-29,102173,103911,101832,103775,2207
2023-10-02,103805,104781,103575,104781,2482
2023-10-03,104901,104901,103858,104079,2321
2023-10-04,104317,104966,103725,104858,3679
2023-10-05,104799,105992,104400,105957,1837
2023-10-06,106181,107115,105077,106182,2727
2023-10-09,106169,108042,104605,104978,3497
2023-10-10,104933,106580,104056,106580,3001
2023-10-11,106601,106707,105697,106586,1997
2023-10-12,106363,106404,102843,103883,5421
2023-10-13,103874,103999,102685,103179,15902
2023-10-16,103087,103858,103018,103785,6886
2023-10-17,103701,104723,103508,104723,7420
2023-10-18,104695,104794,104145,104220,10507
2023-10-19,104189,104770,103925,104398,17304
2023-10-20,104630,104663,102639,102778,14382
2023-10-23,102669,103016,101800,102007,7412
2023-10-24,102040,102140,100356,100356,4684
2023-10-25,100308,100553,99936,100480,6402
2023-10-26,100275,100872,100087,100309,4247
2023-10-27,100414,102315,99410,102286,19228
2023-10-30,102327,102356,100752,101022,14327
2023-10-31,100958,101769,99965,101545,20951
2023-11-01,101517,101866,100100,100537,22233
2023-11-02,100377,102132,100251,101747,20853
2023-11-03,101793,102220,101000,101752,17609
2023-11-06,101778,102417,101596,102131,5021
2023-11-07,102169,102470,101675,101880,7211
2023-11-08,101784,102137,100755,101039,8140
2023-11-09,101112,101300,100527,100707,5385
2023-11-10,100650,100755,100200,100580,3560
2023-11-13,100755,101054,100214,100323,16489
2023-11-14,100553,100553,99457,99963,20344
2023-11-15,99950,100439,98516,98900,15411
2023-11-16,99297,99298,98215,99000,20715
2023-11-17,99203,100000,98588,99878,15395
2023-11-20,99988,100187,97787,98176,21009
2023-11-21,98147,98199,97415,97993,27070
2023-11-22,97890,98402,97445,98007,27878
2023-11-23,97930,98504,97465,98264,25029
2023-11-24,98051,99266,98051,98874,30890
2023-11-27,98953,99297,98554,99103,33260
2023-11-28,99188,100486,98810,100454,28642
2023-11-29,100271,100440,99216,99468,26531
2023-11-30,99405,99842,99068,99569,24617
2023-12-01,99711,100490,99392,100195,46673
2023-12-04,100085,100870,100035,100541,42031
2023-12-05,100432,102033,100341,101934,33832
2023-12-06,102029,102377,100658,101839,20131
2023-12-07,101900,102050,100829,101037,30139
2023-12-08,100982,101299,99247,100220,17454
2023-12-11,100305,100400,98129,98415,44515
2023-12-12,98405,98442,97412,97639,62199
2023-12-13,97519,97898,96890,97156,45250
2023-12-14,97369,99260,97243,98855,67287
2023-12-15,98983,99440,98362,98711,100950
2023-12-18,98685,99100,98088,98401,70957
2023-12-19,98285,99478,97969,99350,137364
2023-12-20,99445,100066,99054,99970,164318
2023-12-21,100048,102041,99740,101600,282887
2023-12-22,101696,101962,100891,101482,178447
2023-12-25,101659,102295,100520,100825,128174
2023-12-26,100800,101377,100600,101228,93050
2023-12-27,101166,102190,100861,101930,120877
2023-12-28,102000,102128,100260,101065,140131
2023-12-29,100911,101100,99818,100715,107193
2024-01-03,100585,101613,100489,101325,43271
2024-01-04,101373,101945,100688,100863,40076
2024-01-05,100796,100989,99578,99927,69905
2024-01-08,99962,101052,99221,100800,56618
2024-01-09,100682,100797,98703,99227,111658
2024-01-10,99172,99514,98643,99429,70501
2024-01-11,99497,99500,98044,98126,98091
2024-01-12,98106,98315,97395,97989,96884
2024-01-15,97912,98144,96762,97122,65997
2024-01-16,97184,97269,96241,96336,160350
2024-01-17,96291,97642,96200,97300,182725
2024-01-18,97343,97831,97144,97531,185829
2024-01-19,97536,97667,96531,96806,194108
2024-01-22,96785,97115,96116,96569,138815
2024-01-23,96500,97244,96458,97032,90963
2024-01-24,97144,97939,96825,97861,80406
2024-01-25,97899,98516,97433,97797,65455
2024-01-26,97778,98987,97577,98836,84297
2024-01-29,98725,99000,97213,97219,73723
2024-01-30,97201,98473,96966,98297,96883
2024-01-31,98362,98933,97779,98685,71484
2024-02-01,98703,99179,98021,99145,62970
2024-02-02,99144,100355,99030,99279,94842
2024-02-05,99422,99992,98063,98256,89606
2024-02-06,98257,99123,98100,98971,60995
2024-02-07,98992,99369,98625,99210,78072
2024-02-08,99129,99515,98107,98140,104590
2024-02-09,98243,98736,97970,98657,120025
2024-02-12,98628,98799,98069,98499,115398
2024-02-13,98561,99100,98115,98283,89823
2024-02-14,98313,98686,98012,98525,68829
2024-02-15,98575,100088,98483,99847,94966
2024-02-16,99833,100198,99340,99392,185448
2024-02-19,99348,100004,99243,99936,65021
2024-02-20,99910,100370,99560,100217,71576
2024-02-21,100189,100592,99867,100586,186130
2024-02-22,100463,101247,99712,100564,198728
2024-02-26,100649,101135,100070,100457,152049
2024-02-27,100463,100709,100118,100398,93632
2024-02-28,100369,100518,99125,99200,143250
2024-02-29,99299,99760,98190,98656,402365
2024-03-01,98655,99758,98425,99642,112516
2024-03-04,99580,99700,99243,99545,69578
2024-03-05,99499,99545,98813,98967,96273
2024-03-06,98875,99328,98362,99101,88763
2024-03-07,99153,99678,99035,99608,113941
2024-03-11,99550,99793,99143,99259,129450
2024-03-12,99291,100468,99247,100302,196385
2024-03-13,100324,100660,99860,100374,98124
2024-03-14,100374,100736,100024,100132,167628
2024-03-15,100133,101214,99869,101156,88653
2024-03-18,101057,101258,99524,100228,157455
2024-03-19,99964,100694,99700,100626,132377
2024-03-20,100518,100816,99929,100260,252071
2024-03-21,100361,101140,100143,100149,88947
